timestamp,open,high,low,close,volume
1770658200,191.59,192.06,190.78,191,1143615
1770661800,190.98,191.5,190.64,191,955215
1770665400,191.01,191.415,189.63,189.88,1450940
1770669000,189.9,190.49,189.54,189.8,1530103
1770733800,191.41,192.48,188.12,189.17,3762200
1770737400,189.16,190.33,188.85,189.13,1465989
1770741000,189.12,190.16,188.91,189.69,956171
1770744600,189.68,190.44,189.19,189.25,978310
1770748200,189.245,189.59,189.07,189.21,603330
1770751800,189.22,189.55,188.43,189.105,1201400
1770755400,189.1,189.435,188.38,188.605,1322500
1770820200,192.45,193.26,188.78,188.9,4879557
1770823800,188.94,192.185,188.88,191.3,2127015
1770827400,191.28,192.11,190.37,191.99,1327527
1770831000,191.96,192.28,191.1,191.45,912044
1770834600,191.44,192.21,190.97,192.05,1038168
1770838200,192.05,192.15,190.95,191.05,901284
1770841800,191.05,191.355,189.95,190.03,1176185
1770906600,193.05,193.61,190.52,191.7,3702315
1770910200,191.69,191.81,187.24,187.31,3352996
1770913800,187.3,189.975,187.24,189.58,2066738
1770917400,189.565,190.52,188.549,189.249,1904579
1770921000,189.25,190,188.92,189.05,1213468
1770924600,189.04,189.47,187.52,187.59,1367905
1770928200,187.6,187.98,186.51,186.905,1903787
1770993000,187.43,187.55,182.18,184.08,5458997
1770996600,184.07,185.17,182.31,183.6,2166981
1771000200,183.59,184.71,183.09,184.555,1102653
1771003800,184.56,184.97,183.47,184.23,1090321
1771007400,184.24,184.85,183.56,183.69,837282
1771011000,183.7,184.285,182.05,182.31,1566380
1771014600,182.3,183.12,181.59,182.78,2004412
1771338600,181.77,183.42,179.18,180.42,3255166
1771342200,180.4,184.365,179.27,183.575,2337980
1771345800,183.57,184.74,183.19,184.74,1390340
1771349400,184.75,185.49,183.63,185.35,1259571
1771353000,185.36,186.44,185,186.4,1055228
1771356600,186.42,187.15,185.335,185.42,1294131
1771360200,185.41,185.53,184.35,185,1533178
1771425000,188.71,190.23,187.35,189.77,4298804
1771428600,189.77,190.365,189.255,189.775,1737261
1771432200,189.77,189.955,188.665,189.141,1270574
1771435800,189.14,189.69,188.9,188.94,727581
1771439400,188.94,189.125,188.2,188.56,1165849
1771443000,188.56,188.67,186.77,186.975,1679762
1771446600,186.97,188.51,186.91,187.88,1833713
1771511400,187.05,188.29,185.66,187.61,2648316
1771515000,187.62,188.43,186.93,187.32,1628111
1771518600,187.335,187.79,186.405,186.63,1287243
1771522200,186.6,186.68,185.795,186.19,1184233
1771525800,186.19,187.055,186.17,186.53,967761
1771529400,186.53,187.06,186.36,186.8,1065792
1771533000,186.79,187.94,186.72,187.89,1102536
1771597800,186.57,189.35,185.94,187.825,3471682
1771601400,187.84,190.33,187.52,188.8,2755077
1771605000,188.79,190.19,187.635,187.93,1888389
1771608600,187.94,189,187.87,188.66,1740384
1771612200,188.7,190.089,188.32,189.369,1731391
1771615800,189.36,189.89,188.95,189.41,1221142
1771619400,189.42,190,189.37,189.83,1274199
1771857000,191.42,193.95,190.92,191.32,5085696
1771860600,191.33,191.67,189.58,190.49,2663838
1771864200,190.49,191.32,190.42,190.94,1474283
1771867800,190.94,191.74,189.72,191.45,1769103
1771871400,191.46,191.75,190.57,190.59,1352115
1771875000,190.57,190.95,190.19,190.88,1449855
1771878600,190.89,191.66,190.64,191.64,1413729
1771943400,191.49,192.06,187.4,192.01,4597062
1771947000,192,193.245,191.71,192.16,2313348
1771950600,192.15,193.75,191.885,193.235,1926141
1771954200,193.23,193.6,192.875,192.94,1163400
1771957800,192.95,193.08,192.165,192.43,1149379
1771961400,192.44,193.05,192.41,192.78,1368182
1771965000,192.79,193.77,192.66,192.805,1727265
1772029800,194.48,196.55,193.79,196.04,5099369
1772033400,196.04,196.62,195.5,196.35,2065647
1772037000,196.34,197.62,196.33,197.36,2180961
1772040600,197.355,197.53,196.605,196.73,1149308
1772044200,196.725,197.45,196.48,197.09,1168086
1772047800,197.09,197.365,196.68,196.895,1860770
1772051400,196.89,197.21,195.52,195.75,2017932
1772116200,194.29,194.31,185.58,186.11,13366431
1772119800,186.1,187.93,184.58,187.79,6117321
1772123400,187.78,187.97,185.85,187.575,2905758
1772127000,187.57,188.12,184.86,185.36,2895154
1772130600,185.35,186.7,184.82,185.29,2554715
1772134200,185.3,185.81,184.32,184.68,2887297
1772137800,184.685,185.55,184.34,184.86,3019918
1772202600,181.25,182.58,179.57,181.83,6992937
1772206200,181.84,182.24,181,181.03,2737440
1772209800,181.025,181.45,179.05,179.915,3007404
1772213400,179.92,180.3,178.65,178.97,2514408
1772217000,178.97,179.3,178.1,178.67,2094580
1772220600,178.67,179.695,178.425,178.9,2304546
1772224200,178.89,178.98,176.39,177.1,5098192
1772461800,175.03,181.37,174.64,180.49,5242406
1772465400,180.48,181.805,180.01,180.91,2998807
1772469000,180.911,183.46,180.84,183.055,2628358
1772472600,183.055,183.055,182.22,182.44,1365832
1772476200,182.45,182.91,181.95,182.645,1771315
1772479800,182.64,183.05,181.65,182.16,1723783
1772483400,182.17,182.83,181.99,182.37,2026004
1772548200,178.49,180.53,177.725,177.78,4466031
1772551800,177.77,180.005,176.92,179.31,2765292
1772555400,179.31,180.645,178.945,180.11,1532212
1772559000,180.105,180.41,178.98,180.16,1024132
1772562600,180.16,180.891,179.45,179.55,940990
1772566200,179.56,180.87,179.16,180.21,1159614
1772569800,180.2,180.56,179.91,180.02,1153481
1772634600,180.58,183.55,180.06,183.47,4931486
1772638200,183.475,183.64,181.8,182.4,2472182
1772641800,182.4,183.15,182.325,182.49,1618144
1772645400,182.49,183.36,182.2,183.045,1349848
1772649000,183.04,184.7,182.98,184.305,2562009
1772652600,184.3,184.331,182.6,183.075,1726301
1772656200,183.075,183.34,182.605,182.93,2260825
1772721000,181.17,182.8,180.8,181.68,3655023
1772724600,181.7,184.06,180.85,182.79,2633045
1772728200,182.81,183.825,181.07,181.11,2017873
1772731800,181.1,181.22,177.9,178.89,3855402
1772735400,178.86,181.02,178.81,180.74,1513069
1772739000,180.73,182.38,179.895,181.879,1666812
1772742600,181.88,183.42,181.71,183.31,1843704
1772807400,179.85,182.751,179.68,181.82,3677213
1772811000,181.82,182.4,180.9,181.73,1754395
1772814600,181.73,182.49,181.03,181.15,1544717
1772818200,181.14,181.82,180.52,181.46,1499621
1772821800,181.45,181.765,180.18,180.52,1204429
1772825400,180.51,180.77,176.95,177.13,2830547
1772829000,177.14,178.371,176.82,177.76,3350290
1773063000,176.84,178.51,175.56,178.11,4161681
1773066600,178.1,179.49,177.99,179.179,1922024
1773070200,179.17,180.62,178.8,180.49,1828682
1773073800,180.49,180.91,179.189,179.39,1625692
1773077400,179.39,180.22,179.02,179.91,1016994
1773081000,179.9,182.08,179.29,182.03,2527922
1773084600,182.03,182.91,181.45,182.65,2730473
1773149400,182.385,184.22,182.015,184.05,3639559
1773153000,184.05,186.44,184.01,185.96,4100408
1773156600,185.96,186.119,185.045,185.3,2341209
1773160200,185.32,186.225,185.235,186.14,1330399
1773163800,186.13,186.13,184.1,184.89,1949242
1773167400,184.89,185.27,184.02,184.4,1843669
1773171000,184.4,184.83,183.26,184.76,2535018
1773235800,185.9,187.62,184.94,186.9,3829618
1773239400,186.89,186.94,185.065,185.08,2018205
1773243000,185.08,185.805,184.84,185.55,1349902
1773246600,185.55,186.07,185.25,185.61,1014563
1773250200,185.62,185.69,184.45,185.15,1073725
1773253800,185.14,185.74,185.02,185.36,1261395
1773257400,185.365,186.035,185.24,186,1267634
1773322200,184.03,184.86,182.05,182.09,3644051
1773325800,182.08,182.95,181.755,182.89,2101562
1773329400,182.88,184.94,182.78,184.25,2373480
1773333000,184.26,184.72,183.53,183.76,1546461
1773336600,183.765,184.185,183.17,183.54,1541839
1773340200,183.55,183.62,182.785,183.435,1484385
1773343800,183.42,183.66,182.73,183.09,1456401
1773408600,184.93,186.1,183.61,183.92,3459127
1773412200,183.91,184.245,181.67,181.89,2913663
1773415800,181.89,182.25,180.72,181.14,1917351
1773419400,181.14,181.75,180.93,181.54,1169119
1773423000,181.54,181.58,180.01,180.54,1423506
1773426600,180.53,181.13,180.28,180.71,1338714
1773430200,180.705,180.825,179.94,180.265,1856438
1773667800,182.98,185.05,182.86,184.07,3596438
1773671400,184.07,184.92,183.31,184.72,2326021
1773675000,184.72,184.94,183.63,183.91,1891621
1773678600,183.9,185.06,183.78,184.77,1748461
1773682200,184.77,185.53,184.27,184.93,1888811
1773685800,184.94,188.88,181.685,181.81,8368919
1773689400,181.85,183.65,181.42,183.16,2728116
1773754200,185.05,185.4,181.895,183.08,4650462
1773757800,183.08,183.4,182.24,182.45,2090483
1773761400,182.44,183.1,181.69,182.695,2072062
1773765000,182.7,182.95,181.87,182.41,1481310
1773768600,182.41,183.469,182.395,183.04,1423739
1773772200,183.03,183.155,182.06,182.65,1298512
1773775800,182.64,182.925,181.81,181.95,1505884
1773840600,182.48,183.38,180.73,182.275,3124376
1773844200,182.28,183.24,181.85,182.55,2011797
1773847800,182.54,182.85,182.32,182.74,1258003
1773851400,182.74,182.76,181.835,182.07,1146021
1773855000,182.07,183.14,181.82,182.31,1271827
1773858600,182.31,182.395,180.885,181.24,2096148
1773862200,181.23,181.38,180.33,180.35,1526822
1773927000,178.005,178.39,175.79,177.58,4505016
1773930600,177.59,179.05,177.56,178.25,1996957
1773934200,178.23,178.94,177.67,178.785,1428295
1773937800,178.79,178.9,177.56,178.55,1270336
1773941400,178.549,179.235,177.98,178.97,1047192
1773945000,178.98,179.98,178.095,179.13,1992446
1773948600,179.13,179.13,177.91,178.52,1706175
1774013400,178,178.11,175.43,175.74,3824895
1774017000,175.75,176.25,175,175.695,2774433
1774020600,175.7,176.45,175.56,175.97,1272154
1774024200,175.97,175.98,175.03,175.06,1016287
1774027800,175.06,175.085,173.955,174.26,2147744
1774031400,174.26,174.33,172.375,172.43,1988599
1774035000,172.43,173.03,171.725,172.94,2425917
1774272600,177.33,178.225,175.88,177.87,4812516
1774276200,177.865,178.365,177.23,177.58,2481177
1774279800,177.59,177.77,174.76,174.815,2523532
1774283400,174.81,175.88,174.8,175.29,1235599
1774287000,175.28,176.41,175.28,176.1,1247083
1774290600,176.1,176.97,176.1,176.24,1452547
1774294200,176.23,176.7,175.51,175.6,1563154
1774359000,174.82,175.9,173.98,174.26,2765736
1774362600,174.255,176.16,174.13,175.63,2368006
1774366200,175.62,175.89,174.93,175.32,1420256
1774369800,175.33,175.47,174.39,174.71,1071539
1774373400,174.7,175.59,174.415,175.4,1210892
1774377000,175.43,176.215,175.3,175.51,1412261
1774380600,175.51,175.62,174.865,175.27,1112881
1774445400,177.06,180.3,176.85,180.06,4541257
1774449000,180.05,181.215,179.2,180,3305037
1774452600,180.01,180.05,178.735,179.13,1672051
1774456200,179.11,179.335,178.51,178.94,1258500
1774459800,178.94,179.57,178.67,179.03,1140899
1774463400,179.02,179.2,177.83,178.59,1797630
1774467000,178.6,179.1,178.26,178.67,1130271
1774531800,176.135,176.52,174.81,174.82,3223846
1774535400,174.82,175.15,173,174.075,3059748
1774539000,174.06,174.84,173.705,173.78,1630706
1774542600,173.79,174,173.35,173.55,1297225
1774546200,173.54,173.71,171.84,172.1,2389139
1774549800,172.1,172.505,171.56,172.12,1887060
1774553400,172.14,172.15,171.14,171.26,1880353
1774618200,169.99,170.97,167.8,167.85,4858587
1774621800,167.84,169.56,167.55,169.56,2845927
1774625400,169.56,169.93,168.71,168.82,1766072
1774629000,168.815,169.27,167.83,167.845,1761148
1774632600,167.84,168.24,167.61,168.01,1614170
1774636200,168.015,168.27,167.23,167.44,1891109
1774639800,167.44,167.93,167.01,167.42,2086962
1774877400,168.78,169.45,166.21,166.9,4001836
1774881000,166.915,168.24,166.27,167.005,2577657
1774884600,167,168.02,166.35,166.48,1944559
1774888200,166.47,166.92,165.815,165.875,1698353
1774891800,165.865,166.45,165.59,165.69,1255470
1774895400,165.7,166.07,164.29,164.46,1970792
1774899000,164.475,165.54,164.28,165.09,2011014
1774963800,166.95,171.07,166.95,170.98,3724966
1774967400,170.99,171.38,169.56,170.31,2193163
1774971000,170.3,171.28,169.76,171.05,1435154
1774974600,171.055,173.88,170.76,173.27,3266523
1774978200,173.28,173.725,172.28,173.27,1713815
1774981800,173.25,174.27,173.03,173.93,1956010
1774985400,173.93,174.61,173.85,174.38,2002523
1775050200,176,176.595,174.75,176.22,4191684
1775053800,176.19,177.12,175.51,176.49,2989855
1775057400,176.48,177.37,176.4,177.1,1885269
1775061000,177.1,177.16,176.62,176.66,1187679
1775064600,176.67,176.72,174.86,175.08,2014068
1775068200,175.08,176.31,174.81,176.01,1965470
1775071800,176,176.26,175.505,175.79,1616125
1775136600,172.18,175.1,171.38,174.05,3621409
1775140200,174.03,177.15,173.91,176.69,2551919
1775143800,176.7,177.02,175.72,176.13,1218149
1775147400,176.12,176.91,175.77,176.78,899791
1775151000,176.79,177.05,176.12,176.55,1034562
1775154600,176.56,177.47,176.52,176.91,1203102
1775158200,176.9,177.48,176.87,177.395,1075717
1775482200,177.155,177.8,175.77,176.78,2964209
1775485800,176.79,176.97,176.18,176.48,1264667
1775489400,176.485,177.6,176.46,177.15,979429
1775493000,177.16,177.44,176.05,176.93,979513
1775496600,176.94,177.3,176.45,176.98,967774
1775500200,177,177.42,176.75,177.23,792824
1775503800,177.22,177.68,177.08,177.63,856002
1775568600,175.705,176.99,174.44,175.08,2647082
1775572200,175.11,175.17,173.66,175.01,1655365
1775575800,175.02,175.94,174.69,175.41,1231294
1775579400,175.4,175.945,175.28,175.39,708267
1775583000,175.39,176.18,175.35,175.695,792719
1775586600,175.69,176.88,174.98,176.29,1216429
1775590200,176.245,178.23,176.085,178.12,1716975
1775655000,184.5,185.26,181.25,181.8,4167438
1775658600,181.8,181.93,180.3,181.3,1943312
1775662200,181.31,182.03,181.13,181.46,1122137
1775665800,181.45,181.81,181.38,181.45,838755
1775669400,181.43,182.175,181.29,181.7,1091041
1775673000,181.7,182.05,181.1,181.705,847733
1775676600,181.7,182.34,181.655,182.14,950454
1775741400,181.83,182.3,180.63,181.595,2295141
1775745000,181.59,183.525,181.4,182.835,1630407
1775748600,182.83,183.95,182.72,183.54,1340373
1775752200,183.53,183.89,183.1,183.46,784491
